1.3.6.1.2.1.47.1.1.1.1.5 物理实体的通用类型
OID:1.3.6.1.2.1.47.1.1.1.1.5.16777216 Type:Integer Value:3
OID:1.3.6.1.2.1.47.1.1.1.1.5.16842752 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.16842753 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.16843008 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.16843264 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847104 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847105 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847106 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847107 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847108 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847109 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847110 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847111 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847112 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847113 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847114 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847115 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847116 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847117 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847118 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847119 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847120 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847121 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847122 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847123 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847124 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.16847125 Type:Integer Value:10
