1.3.6.1.2.1.47.1.1.1.1.4 包含本物理实体的直接父实体的索引
OID:1.3.6.1.2.1.47.1.1.1.1.4.16777216 Type:Integer Value:0
OID:1.3.6.1.2.1.47.1.1.1.1.4.16842752 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.16842753 Type:Integer Value:16842752
OID:1.3.6.1.2.1.47.1.1.1.1.4.16843008 Type:Integer Value:16842753
OID:1.3.6.1.2.1.47.1.1.1.1.4.16843264 Type:Integer Value:16842753
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847104 Type:Integer Value:16843008
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847105 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847106 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847107 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847108 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847109 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847110 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847111 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847112 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847113 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847114 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847115 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847116 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847117 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847118 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847119 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847120 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847121 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847122 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847123 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847124 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847125 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847126 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847127 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16847128 Type:Integer Value:16847104
OID:1.3.6.1.2.1.47.1.1.1.1.4.16908288 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.16908289 Type:Integer Value:16908288
OID:1.3.6.1.2.1.47.1.1.1.1.4.16908544 Type:Integer Value:16908289
OID:1.3.6.1.2.1.47.1.1.1.1.4.16973824 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.16973825 Type:Integer Value:16973824
OID:1.3.6.1.2.1.47.1.1.1.1.4.16974080 Type:Integer Value:16973825
OID:1.3.6.1.2.1.47.1.1.1.1.4.17039360 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17039361 Type:Integer Value:17039360
OID:1.3.6.1.2.1.47.1.1.1.1.4.17039616 Type:Integer Value:17039361
OID:1.3.6.1.2.1.47.1.1.1.1.4.17039872 Type:Integer Value:17039361
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043712 Type:Integer Value:17039616
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043713 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043714 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043715 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043716 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043717 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043718 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043719 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043720 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043721 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043722 Type:Integer Value:17043712
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043968 Type:Integer Value:17039872
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043969 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043970 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043971 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043972 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043973 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043974 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043975 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043976 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043977 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17043978 Type:Integer Value:17043968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17104896 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17104897 Type:Integer Value:17104896
OID:1.3.6.1.2.1.47.1.1.1.1.4.17105152 Type:Integer Value:17104897
OID:1.3.6.1.2.1.47.1.1.1.1.4.17105408 Type:Integer Value:17104897
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109248 Type:Integer Value:17105152
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109249 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109250 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109251 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109252 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109253 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109254 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109255 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109256 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109257 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109258 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109504 Type:Integer Value:17105408
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109505 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109506 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109507 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109508 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109509 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109510 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109511 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109512 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109513 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109514 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17170432 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17170433 Type:Integer Value:17170432
OID:1.3.6.1.2.1.47.1.1.1.1.4.17170688 Type:Integer Value:17170433
OID:1.3.6.1.2.1.47.1.1.1.1.4.17170944 Type:Integer Value:17170433
